customer_id,has_loyalty_card,loyalty_card_number,points_balance,tier,signup_date
CUST1000,False,,1497,Silver,2020-05-18
CUST1001,False,,6066,Silver,2020-12-24
CUST1002,True,LC200002,2005,Silver,2022-04-15
CUST1003,False,,393,Basic,2024-03-02
CUST1004,True,LC200004,7098,Gold,2023-11-09
CUST1005,True,LC200005,1560,Silver,2024-06-15
CUST1006,True,LC200006,2550,Gold,2025-06-05
CUST1007,False,,2847,Gold,2023-07-27
CUST1008,True,LC200008,6979,Gold,2024-07-18
CUST1009,True,LC200009,2886,Silver,2021-04-27
CUST1010,True,LC200010,3321,Gold,2022-06-27
CUST1011,True,LC200011,226,Basic,2023-02-08
CUST1012,False,,6584,Gold,2022-05-15
CUST1013,False,,342,Basic,2020-05-18
CUST1014,False,,1791,Silver,2022-09-22
CUST1015,True,LC200015,10965,Gold,2021-03-10
CUST1016,True,LC200016,641,Basic,2021-05-23
CUST1017,True,LC200017,3533,Gold,2020-09-29
CUST1018,True,LC200018,2311,Silver,2023-01-27
CUST1019,True,LC200019,2664,Gold,2024-11-22
CUST1020,False,,2772,Gold,2025-02-16
CUST1021,True,LC200021,1257,Silver,2020-04-13
CUST1022,True,LC200022,591,Basic,2023-05-22
CUST1023,True,LC200023,5362,Platinum,2024-11-19
CUST1024,True,LC200024,5530,Silver,2024-08-14
CUST1025,True,LC200025,1487,Silver,2022-01-31
CUST1026,False,,4731,Platinum,2022-02-25
CUST1027,False,,5814,Gold,2020-06-13
CUST1028,False,,4996,Gold,2022-09-25
CUST1029,True,LC200029,1963,Silver,2025-02-19
CUST1030,True,LC200030,3352,Basic,2021-06-03
CUST1031,True,LC200031,2258,Silver,2023-07-31
CUST1032,True,LC200032,2922,Silver,2021-05-31
CUST1033,False,,1961,Silver,2021-10-18
CUST1034,True,LC200034,6514,Gold,2021-09-04
CUST1035,True,LC200035,4715,Platinum,2020-06-12
CUST1036,True,LC200036,4575,Platinum,2025-03-24
CUST1037,True,LC200037,1098,Silver,2024-08-09
CUST1038,False,,2416,Gold,2020-03-04
CUST1039,True,LC200039,3325,Gold,2023-01-19
CUST1040,True,LC200040,4366,Silver,2023-02-14
CUST1041,True,LC200041,2071,Silver,2025-03-04
CUST1042,True,LC200042,2986,Gold,2020-09-23
CUST1043,False,,1879,Silver,2025-01-19
CUST1044,False,,5838,Platinum,2024-09-04
CUST1045,False,,11009,Basic,2024-05-01
CUST1046,False,,4540,Gold,2023-03-09
CUST1047,True,LC200047,4053,Silver,2020-09-02
CUST1048,False,,4690,Platinum,2024-08-11
CUST1049,True,LC200049,806,Silver,2024-11-16
CUST1050,True,LC200050,2629,Gold,2021-01-29
CUST1051,False,,492,Basic,2024-02-19
CUST1052,True,LC200052,2651,Silver,2021-04-20
CUST1053,False,,5689,Silver,2024-03-20
CUST1054,True,LC200054,2857,Gold,2022-09-03
CUST1055,False,,7300,Platinum,2023-04-22
CUST1056,False,,4432,Gold,2022-11-09
CUST1057,False,,1708,Silver,2025-05-14
CUST1058,False,,830,Basic,2021-07-11
CUST1059,False,,2677,Gold,2022-10-14
CUST1060,True,LC200060,2040,Silver,2024-03-27
CUST1061,True,LC200061,3593,Basic,2024-05-24
CUST1062,True,LC200062,4722,Platinum,2024-04-01
CUST1063,False,,1336,Silver,2022-06-01
CUST1064,True,LC200064,3898,Gold,2020-05-26
CUST1065,False,,12665,Silver,2021-10-27
CUST1066,True,LC200066,4024,Gold,2023-08-20
CUST1067,True,LC200067,3096,Basic,2021-09-11
CUST1068,False,,6275,Platinum,2024-11-06
CUST1069,True,LC200069,5935,Basic,2022-03-30
CUST1070,True,LC200070,4564,Gold,2022-05-13
CUST1071,True,LC200071,2267,Silver,2021-08-04
CUST1072,False,,5719,Platinum,2022-10-19
CUST1073,False,,2628,Gold,2021-11-25
CUST1074,True,LC200074,1810,Silver,2024-11-20
CUST1075,True,LC200075,10170,Gold,2023-06-05
CUST1076,True,LC200076,4975,Platinum,2023-01-30
CUST1077,False,,7975,Gold,2024-05-29
CUST1078,False,,1786,Silver,2023-12-11
CUST1079,True,LC200079,4229,Gold,2025-06-04
CUST1080,True,LC200080,1738,Silver,2023-05-24
CUST1081,True,LC200081,2922,Gold,2021-02-10
CUST1082,False,,1021,Basic,2021-02-02
CUST1083,False,,5970,Gold,2025-04-30
CUST1084,True,LC200084,4596,Platinum,2021-12-15
CUST1085,True,LC200085,4240,Silver,2021-12-04
CUST1086,True,LC200086,4947,Gold,2022-01-30
CUST1087,False,,4087,Gold,2021-05-13
CUST1088,True,LC200088,793,Basic,2024-11-12
CUST1089,False,,2145,Silver,2024-01-28
CUST1090,False,,446,Basic,2024-09-10
CUST1091,True,LC200091,980,Basic,2025-05-26
CUST1092,True,LC200092,4365,Platinum,2022-08-31
CUST1093,True,LC200093,4249,Platinum,2024-10-20
CUST1094,False,,3441,Silver,2020-03-22
CUST1095,False,,4844,Platinum,2021-08-26
CUST1096,False,,2727,Silver,2025-05-24
CUST1097,True,LC200097,4088,Platinum,2024-09-06
CUST1098,True,LC200098,5124,Platinum,2024-11-09
CUST1099,False,,5958,Gold,2022-02-10
CUST1100,False,,1865,Silver,2022-06-21
CUST1101,True,LC200101,2439,Gold,2020-12-30
CUST1102,False,,3165,Gold,2020-06-11
CUST1103,False,,5238,Gold,2022-12-07
CUST1104,True,LC200104,5870,Gold,2021-05-25
CUST1105,False,,4728,Platinum,2023-09-14
CUST1106,False,,2169,Silver,2025-02-06
CUST1107,False,,5332,Platinum,2020-04-25
CUST1108,True,LC200108,2990,Gold,2022-07-29
CUST1109,True,LC200109,4466,Platinum,2025-02-15
CUST1110,False,,2870,Silver,2020-12-02
CUST1111,True,LC200111,6499,Silver,2022-05-30
CUST1112,True,LC200112,1508,Silver,2022-01-06
CUST1113,True,LC200113,3083,Gold,2025-03-02
CUST1114,True,LC200114,5476,Gold,2022-04-19
CUST1115,False,,1725,Basic,2020-05-26
CUST1116,False,,1096,Basic,2024-05-17
CUST1117,True,LC200117,2528,Gold,2025-01-03
CUST1118,True,LC200118,3481,Gold,2023-09-08
CUST1119,True,LC200119,7820,Platinum,2021-03-18
CUST1120,False,,2087,Silver,2022-04-16
CUST1121,False,,3048,Gold,2022-11-02
CUST1122,True,LC200122,2612,Gold,2022-07-31
CUST1123,False,,2505,Gold,2024-02-26
CUST1124,False,,1839,Basic,2024-09-20
CUST1125,False,,610,Basic,2020-10-13
CUST1126,False,,2319,Silver,2021-12-20
CUST1127,True,LC200127,4473,Platinum,2023-02-11
CUST1128,False,,3362,Gold,2021-04-24
CUST1129,True,LC200129,5234,Platinum,2020-01-22
CUST1130,False,,5861,Gold,2023-10-04
CUST1131,False,,1319,Silver,2024-10-15
CUST1132,False,,2939,Gold,2021-11-13
CUST1133,False,,1981,Silver,2025-02-01
CUST1134,True,LC200134,2536,Gold,2024-05-08
CUST1135,True,LC200135,736,Basic,2022-06-24
CUST1136,False,,7947,Platinum,2025-01-07
CUST1137,False,,2569,Silver,2020-11-15
CUST1138,True,LC200138,1843,Silver,2020-05-05
CUST1139,True,LC200139,681,Basic,2020-10-03
CUST1140,True,LC200140,2228,Silver,2025-06-22
CUST1141,False,,1360,Silver,2023-05-12
CUST1142,False,,4068,Gold,2020-07-12
CUST1143,True,LC200143,2858,Silver,2024-08-31
CUST1144,True,LC200144,5665,Gold,2024-08-14
CUST1145,False,,4270,Gold,2024-04-19
CUST1146,False,,9156,Silver,2021-11-26
CUST1147,True,LC200147,1311,Silver,2023-08-02
CUST1148,True,LC200148,4911,Platinum,2020-02-26
CUST1149,True,LC200149,1435,Basic,2024-10-23
CUST1150,True,LC200150,5750,Gold,2023-08-19
CUST1151,True,LC200151,3450,Gold,2023-04-01
CUST1152,False,,865,Basic,2020-01-19
CUST1153,False,,1762,Silver,2023-10-25
CUST1154,False,,3803,Gold,2020-09-20
CUST1155,False,,4338,Gold,2022-03-04
CUST1156,True,LC200156,1106,Basic,2020-04-22
CUST1157,True,LC200157,3296,Silver,2024-02-20
CUST1158,True,LC200158,7754,Platinum,2023-09-12
CUST1159,True,LC200159,2322,Gold,2021-06-25
CUST1160,False,,5357,Platinum,2021-10-08
CUST1161,False,,405,Basic,2021-08-01
CUST1162,True,LC200162,1797,Silver,2022-12-24
CUST1163,True,LC200163,4944,Platinum,2023-08-08
CUST1164,False,,4318,Gold,2020-01-25
CUST1165,True,LC200165,4652,Platinum,2024-04-21
CUST1166,True,LC200166,4927,Platinum,2020-01-01
CUST1167,False,,1846,Silver,2022-06-29
CUST1168,False,,10224,Silver,2024-04-21
CUST1169,True,LC200169,6247,Gold,2020-05-20
CUST1170,True,LC200170,1213,Basic,2024-11-02
CUST1171,False,,581,Basic,2021-10-09
CUST1172,True,LC200172,3292,Gold,2025-04-08
CUST1173,True,LC200173,581,Basic,2020-07-06
CUST1174,False,,2806,Gold,2023-02-25
CUST1175,True,LC200175,1485,Silver,2020-07-19
CUST1176,False,,3579,Gold,2023-02-24
CUST1177,True,LC200177,8476,Gold,2020-09-13
CUST1178,False,,2593,Silver,2024-08-26
CUST1179,True,LC200179,1516,Silver,2021-06-30
CUST1180,True,LC200180,7429,Platinum,2020-07-12
CUST1181,True,LC200181,2549,Gold,2021-12-03
CUST1182,True,LC200182,6115,Gold,2023-02-01
CUST1183,False,,3845,Gold,2024-04-07
CUST1184,False,,2411,Silver,2023-07-12
CUST1185,True,LC200185,5727,Platinum,2022-03-12
CUST1186,True,LC200186,5511,Platinum,2022-07-30
CUST1187,False,,3573,Basic,2025-06-20
CUST1188,False,,7506,Platinum,2023-11-08
CUST1189,True,LC200189,3624,Gold,2023-07-07
CUST1190,True,LC200190,5005,Platinum,2021-02-17
CUST1191,True,LC200191,4896,Platinum,2023-10-13
CUST1192,False,,2480,Gold,2023-01-03
CUST1193,True,LC200193,2163,Silver,2023-10-10
CUST1194,False,,3782,Gold,2024-05-26
CUST1195,True,LC200195,5173,Platinum,2024-11-29
CUST1196,False,,666,Basic,2022-06-28
CUST1197,True,LC200197,1473,Silver,2020-07-06
CUST1198,True,LC200198,6311,Platinum,2025-06-19
CUST1199,True,LC200199,2096,Gold,2024-09-04
CUST1200,False,,5012,Silver,2023-08-06
CUST1201,True,LC200201,5248,Platinum,2020-02-14
CUST1202,True,LC200202,1261,Silver,2024-05-15
CUST1203,True,LC200203,1955,Silver,2020-03-23
CUST1204,True,LC200204,4690,Platinum,2023-02-20
CUST1205,False,,4788,Platinum,2020-12-23
CUST1206,False,,5512,Platinum,2024-03-31
CUST1207,False,,4731,Platinum,2022-12-25
CUST1208,True,LC200208,1218,Basic,2022-07-24
CUST1209,False,,3984,Gold,2024-08-07
CUST1210,True,LC200210,5658,Silver,2021-01-09
CUST1211,True,LC200211,748,Basic,2020-06-10
CUST1212,True,LC200212,4445,Platinum,2024-11-04
CUST1213,True,LC200213,2429,Gold,2023-11-04
CUST1214,False,,3044,Silver,2024-08-06
CUST1215,False,,8773,Platinum,2023-10-13
CUST1216,False,,6337,Platinum,2023-04-26
CUST1217,True,LC200217,4006,Silver,2020-11-17
CUST1218,True,LC200218,4426,Silver,2021-03-25
CUST1219,True,LC200219,4395,Gold,2024-02-06
CUST1220,True,LC200220,5338,Gold,2022-11-02
CUST1221,True,LC200221,182,Basic,2020-07-02
CUST1222,True,LC200222,6185,Gold,2020-04-20
CUST1223,True,LC200223,4498,Platinum,2025-05-04
CUST1224,True,LC200224,1700,Silver,2021-05-22
CUST1225,False,,2994,Silver,2023-08-06
CUST1226,False,,3391,Gold,2020-10-21
CUST1227,False,,4183,Gold,2024-01-14
CUST1228,False,,3955,Gold,2022-06-22
CUST1229,True,LC200229,4096,Platinum,2023-05-23
CUST1230,False,,3459,Gold,2022-08-31
CUST1231,False,,4693,Gold,2021-09-23
CUST1232,True,LC200232,96,Basic,2025-04-01
CUST1233,True,LC200233,3871,Gold,2024-05-09
CUST1234,False,,5083,Platinum,2022-11-16
CUST1235,True,LC200235,5506,Platinum,2024-07-11
CUST1236,True,LC200236,3324,Gold,2022-01-02
CUST1237,True,LC200237,1132,Silver,2023-06-08
CUST1238,True,LC200238,3675,Gold,2024-05-07
CUST1239,True,LC200239,3543,Gold,2025-01-04
CUST1240,True,LC200240,4718,Gold,2020-11-16
CUST1241,True,LC200241,1318,Silver,2022-07-01
CUST1242,True,LC200242,3782,Gold,2023-06-10
CUST1243,False,,4840,Platinum,2024-08-20
CUST1244,True,LC200244,5922,Platinum,2021-03-12
CUST1245,True,LC200245,5426,Basic,2022-02-19
CUST1246,True,LC200246,3948,Gold,2024-04-05
CUST1247,False,,9244,Gold,2023-11-27
CUST1248,True,LC200248,3640,Basic,2022-12-12
CUST1249,True,LC200249,3766,Gold,2024-12-15
CUST1250,False,,2176,Silver,2023-08-29
CUST1251,False,,7398,Platinum,2023-07-28
CUST1252,True,LC200252,1090,Silver,2021-12-26
CUST1253,False,,4088,Gold,2020-01-31
CUST1254,True,LC200254,5625,Gold,2020-12-02
CUST1255,True,LC200255,831,Basic,2020-07-01
CUST1256,True,LC200256,5672,Basic,2022-11-12
CUST1257,True,LC200257,4861,Silver,2021-06-27
CUST1258,False,,3011,Gold,2024-01-09
CUST1259,True,LC200259,1140,Silver,2023-01-02
CUST1260,True,LC200260,3980,Gold,2022-10-30
CUST1261,False,,477,Basic,2024-02-16
CUST1262,False,,9445,Gold,2024-01-19
CUST1263,True,LC200263,2785,Gold,2024-05-08
CUST1264,False,,4295,Platinum,2024-05-06
CUST1265,True,LC200265,4009,Gold,2021-10-21
CUST1266,False,,5088,Platinum,2020-06-08
CUST1267,False,,2878,Basic,2025-03-20
CUST1268,False,,2830,Gold,2022-11-03
CUST1269,True,LC200269,2384,Silver,2023-04-16
CUST1270,True,LC200270,4106,Silver,2021-02-15
CUST1271,True,LC200271,3221,Silver,2025-03-16
CUST1272,True,LC200272,2681,Silver,2022-10-08
CUST1273,True,LC200273,4672,Platinum,2020-02-22
CUST1274,False,,5001,Platinum,2021-02-11
CUST1275,True,LC200275,4849,Gold,2022-04-26
CUST1276,True,LC200276,1186,Basic,2022-11-11
CUST1277,False,,4916,Gold,2022-11-19
CUST1278,True,LC200278,3100,Gold,2021-12-03
CUST1279,False,,2884,Gold,2020-09-16
CUST1280,True,LC200280,8287,Platinum,2023-05-13
CUST1281,True,LC200281,4870,Gold,2022-12-18
CUST1282,True,LC200282,4316,Silver,2024-02-03
CUST1283,True,LC200283,619,Basic,2022-02-14
CUST1284,False,,4673,Gold,2024-01-29
CUST1285,True,LC200285,5656,Platinum,2022-11-01
CUST1286,True,LC200286,4998,Platinum,2024-07-12
CUST1287,True,LC200287,8559,Platinum,2025-05-04
CUST1288,True,LC200288,2798,Gold,2025-06-20
CUST1289,False,,2843,Gold,2023-08-06
CUST1290,True,LC200290,2030,Silver,2022-04-29
CUST1291,False,,3548,Silver,2024-11-18
CUST1292,False,,1741,Silver,2020-12-19
CUST1293,True,LC200293,4792,Platinum,2024-07-20
CUST1294,False,,4270,Platinum,2023-01-03
CUST1295,True,LC200295,6610,Silver,2022-05-22
CUST1296,True,LC200296,4446,Platinum,2024-10-05
CUST1297,True,LC200297,1682,Silver,2024-05-03
CUST1298,False,,2132,Silver,2024-06-02
CUST1299,False,,2624,Gold,2024-01-04
CUST1300,True,LC200300,1703,Silver,2022-09-17
CUST1301,False,,14377,Gold,2023-06-18
CUST1302,True,LC200302,3688,Gold,2022-10-14
CUST1303,True,LC200303,3588,Basic,2025-02-27
CUST1304,True,LC200304,2253,Gold,2023-03-23
CUST1305,False,,5212,Platinum,2024-12-14
CUST1306,False,,2066,Gold,2023-01-24
CUST1307,True,LC200307,4049,Gold,2024-10-15
CUST1308,True,LC200308,3724,Gold,2020-10-20
CUST1309,True,LC200309,6783,Gold,2020-07-27
CUST1310,True,LC200310,2253,Silver,2023-09-28
CUST1311,True,LC200311,4668,Silver,2023-01-16
CUST1312,False,,1542,Silver,2022-03-28
CUST1313,True,LC200313,2366,Gold,2024-12-04
CUST1314,True,LC200314,6009,Gold,2025-05-14
CUST1315,True,LC200315,5573,Gold,2021-01-24
CUST1316,False,,4603,Gold,2020-11-20
CUST1317,False,,569,Basic,2022-07-28
CUST1318,True,LC200318,2653,Gold,2022-06-07
CUST1319,False,,4016,Silver,2025-01-29
CUST1320,True,LC200320,4510,Silver,2023-03-26
CUST1321,True,LC200321,9526,Gold,2021-10-29
CUST1322,True,LC200322,1964,Silver,2024-08-01
CUST1323,True,LC200323,5999,Platinum,2021-09-24
CUST1324,True,LC200324,4158,Gold,2021-07-30
CUST1325,False,,2996,Gold,2024-06-30
CUST1326,False,,6122,Basic,2024-08-09
CUST1327,False,,3764,Gold,2020-05-16
CUST1328,True,LC200328,5390,Silver,2025-04-30
CUST1329,True,LC200329,5110,Platinum,2024-08-24
CUST1330,False,,3692,Gold,2021-03-03
CUST1331,True,LC200331,3656,Gold,2024-01-15
CUST1332,True,LC200332,3298,Gold,2021-09-03
CUST1333,True,LC200333,3273,Gold,2025-02-16
CUST1334,False,,1328,Silver,2022-06-29
CUST1335,True,LC200335,3004,Gold,2022-03-29
CUST1336,True,LC200336,1545,Silver,2020-05-20
CUST1337,False,,3593,Gold,2023-01-11
CUST1338,True,LC200338,10960,Gold,2020-06-25
CUST1339,True,LC200339,4361,Platinum,2020-07-16
CUST1340,True,LC200340,8350,Platinum,2021-09-15
CUST1341,True,LC200341,8399,Gold,2024-05-10
CUST1342,False,,2006,Silver,2025-06-18
CUST1343,True,LC200343,4648,Basic,2021-11-21
CUST1344,True,LC200344,1245,Silver,2023-12-15
CUST1345,False,,6867,Gold,2021-02-04
CUST1346,False,,7704,Gold,2024-09-17
CUST1347,False,,4167,Silver,2021-04-15
CUST1348,True,LC200348,3280,Gold,2020-08-05
CUST1349,True,LC200349,6194,Platinum,2025-05-02
CUST1350,False,,1190,Silver,2022-07-17
CUST1351,False,,3226,Silver,2025-01-25
CUST1352,True,LC200352,2797,Silver,2024-10-18
CUST1353,True,LC200353,1708,Silver,2021-09-23
CUST1354,True,LC200354,4070,Gold,2022-08-08
CUST1355,False,,2049,Basic,2022-06-24
CUST1356,True,LC200356,3726,Gold,2020-06-23
CUST1357,True,LC200357,4764,Platinum,2020-01-23
CUST1358,True,LC200358,1222,Silver,2024-10-14
CUST1359,False,,4593,Platinum,2025-04-24
CUST1360,False,,2732,Silver,2020-08-22
CUST1361,True,LC200361,4821,Gold,2022-11-02
CUST1362,False,,2251,Silver,2023-01-29
CUST1363,False,,3512,Gold,2022-07-17
CUST1364,True,LC200364,1093,Silver,2024-04-08
CUST1365,True,LC200365,4340,Platinum,2025-03-14
CUST1366,True,LC200366,5761,Platinum,2021-06-06
CUST1367,False,,7358,Platinum,2024-12-13
CUST1368,True,LC200368,2601,Gold,2024-01-15
CUST1369,False,,2175,Gold,2021-03-06
CUST1370,False,,135,Basic,2022-03-03
CUST1371,True,LC200371,4455,Gold,2024-06-17
CUST1372,False,,3894,Basic,2024-10-02
CUST1373,True,LC200373,3815,Gold,2021-06-16
CUST1374,True,LC200374,1146,Basic,2025-02-18
CUST1375,False,,4290,Platinum,2022-09-05
CUST1376,False,,7604,Platinum,2024-10-12
CUST1377,True,LC200377,2798,Silver,2024-08-02
CUST1378,False,,5699,Gold,2023-08-09
CUST1379,False,,7088,Gold,2022-03-20
CUST1380,True,LC200380,1350,Silver,2022-07-01
CUST1381,False,,9727,Platinum,2023-01-29
CUST1382,True,LC200382,3384,Gold,2024-03-05
CUST1383,True,LC200383,6139,Gold,2023-08-20
CUST1384,True,LC200384,2694,Gold,2022-05-20
CUST1385,False,,2563,Silver,2021-06-23
CUST1386,False,,3140,Gold,2022-10-20
CUST1387,True,LC200387,721,Basic,2024-04-25
CUST1388,True,LC200388,8357,Platinum,2023-10-10
CUST1389,False,,2509,Gold,2023-08-19
CUST1390,True,LC200390,1420,Silver,2024-02-28
CUST1391,False,,1684,Silver,2024-08-08
CUST1392,False,,2048,Silver,2024-11-26
CUST1393,True,LC200393,12305,Gold,2025-06-20
CUST1394,False,,6050,Platinum,2020-08-14
CUST1395,True,LC200395,2276,Basic,2023-06-13
CUST1396,False,,3506,Gold,2022-05-22
CUST1397,False,,4110,Basic,2022-06-10
CUST1398,False,,1979,Silver,2024-01-18
CUST1399,True,LC200399,580,Basic,2022-11-02
